"refNo","collectDate","subjEmail","cenTract","ageRange","score"
10000038,"9/11/2015","eu.tellus@dolorDonecfringilla.net",25446,60,244
10000038,"2/23/2016","in@vitaealiquet.org",34463,50,191
10000038,"3/3/2016","nec.mauris.blandit@amalesuadaid.com",53507,30,263
10000038,"6/24/2015","risus.quis@tempusmauriserat.com",72775,50,109
10000039,"2/21/2016","cursus.et.eros@a.org",12471,50,278
10000039,"7/26/2015","libero@semvitae.com",40429,20,159
10000039,"11/27/2015","mi.ac@arcuVestibulumante.org",48843,40,130
10000039,"5/11/2015","pellentesque.Sed@a.com",65713,60,151
10000039,"7/12/2016","sed.dolor.Fusce@ligulaconsectetuer.net",75176,30,72
10000039,"5/15/2016","vitae.nibh.Donec@egestaslaciniaSed.net",97383,30,131
10000039,"12/15/2016","viverra.Donec.tempus@Ut.com",98981,20,43
10000040,"8/10/2015","arcu.Sed@eleifendnon.com",6764,40,290
10000040,"11/21/2015","congue@augueut.org",9396,40,80
10000040,"9/6/2016","dolor.elit.pellentesque@maurisIntegersem.com",15287,60,103
10000040,"4/16/2015","fames.ac@fringillaornare.com",27435,65,140
10000040,"3/30/2016","mi.enim@nonleoVivamus.edu",48864,30,111
10000040,"7/4/2016","Proin.velit@tempuseuligula.com",68884,17,61
10000040,"8/10/2015","vitae.nibh.Donec@Morbi.com",97467,40,253
10000041,"3/24/2015","dolor.elit@dictumeu.com",15309,65,56
10000041,"12/31/2016","feugiat.metus@molestieorcitincidunt.com",29194,60,215
10000041,"12/15/2016","id@molestietellusAenean.com",32254,17,121
10000041,"8/16/2015","lectus.pede.ultrices@urnanecluctus.net",39448,20,152
10000041,"7/4/2015","luctus.ipsum@ac.com",43700,65,134
10000041,"9/30/2015","nisi@iaculis.com",56381,20,169
10000041,"5/30/2016","vitae.sodales@Praesent.net",97965,65,192
10000042,"7/23/2015","a@estacfacilisis.com",2747,40,161
10000042,"7/28/2015","adipiscing.Mauris.molestie@eget.edu",4148,30,304
10000042,"9/9/2016","elit.sed.consequat@IncondimentumDonec.com",20998,40,231
10000042,"2/21/2015","id@acturpis.edu",32138,20,216
10000042,"12/26/2015","nascetur.ridiculus.mus@sedfacilisis.net",52124,20,114
10000042,"5/29/2015","non.enim@Maecenasmi.net",57146,40,252
10000042,"12/5/2016","nunc.ullamcorper@sem.com",61648,65,105
10000043,"7/13/2015","Donec@ipsumac.com",17104,17,200
10000043,"4/29/2016","eget@sitamet.org",19853,40,145
10000043,"1/15/2017","id.ante.dictum@nibhsit.net",32013,17,81
10000043,"8/19/2015","lacus.Nulla@eliterat.edu",37759,40,78
10000043,"5/15/2015","lorem@conubia.edu",42575,20,141
10000043,"1/24/2016","non@ut.edu",58172,40,34
10000043,"1/2/2016","sagittis.semper.Nam@consequatdolorvitae.edu",73480,40,61
10000044,"8/11/2016","accumsan.neque@lectussitamet.net",3801,30,213
10000044,"2/1/2015","Nam.consequat.dolor@posuere.com",51461,50,330
10000044,"10/30/2016","neque.sed@risus.net",54927,20,107
10000044,"8/13/2016","non.sollicitudin@ipsumSuspendissesagittis.edu",57384,30,138
10000044,"7/20/2016","nulla.Cras.eu@tempor.org",58435,30,2
10000044,"7/18/2015","Proin.vel@mollisvitaeposuere.net",68884,40,190
10000044,"2/21/2016","rhoncus.Nullam@pharetra.org",72352,60,225
10000045,"10/27/2016","at@Vivamusnibh.net",8519,65,130
10000045,"3/21/2016","diam.vel@volutpatNulla.com",14401,50,214
10000045,"11/16/2016","eleifend.Cras@eu.com",20051,60,132
10000045,"3/12/2015","feugiat.Sed.nec@In.org",29332,30,119
10000045,"6/11/2016","sociis.natoque.penatibus@MaurismagnaDuis.org",81541,20,241
10000045,"5/20/2015","vehicula@turpis.edu",94825,60,74
10000045,"3/26/2016","vitae@elitsed.com",98400,40,89
10000046,"1/2/2016","Etiam.imperdiet.dictum@Sed.edu",24883,65,4
10000046,"11/18/2016","faucibus.orci.luctus@dui.com",28332,65,310
10000046,"1/10/2017","feugiat.metus@tellusAenean.com",29325,40,127
10000046,"7/31/2016","lobortis.augue@metusVivamuseuismod.net",41055,65,99
10000046,"5/27/2015","nec@neque.org",53877,17,13
10000046,"7/25/2015","Suspendisse.non.leo@perconubianostra.org",83466,50,182
10000046,"10/9/2016","vitae.mauris.sit@non.com",97187,65,231
10000047,"11/13/2015","Cras.eget.nisi@luctuset.com",10005,60,202
10000047,"2/11/2015","Donec.tincidunt@ipsum.net",16505,17,105
10000047,"10/17/2016","massa.rutrum@elitEtiam.edu",46183,60,186
10000047,"7/11/2015","quam.Pellentesque.habitant@Nuncpulvinar.com",70682,17,30
10000047,"8/20/2015","sem.magna@famesacturpis.com",77374,65,95
10000047,"3/16/2016","tincidunt.nibh@euenim.com",87528,17,162
10000047,"7/24/2016","ultrices@venenatis.net",91444,30,295
10000048,"9/2/2015","cursus.purus.Nullam@Integereu.com",13146,30,178
10000048,"3/6/2015","dictum@adipiscingenim.com",14827,40,68
10000048,"7/29/2015","est.Mauris.eu@ut.com",24214,20,115
10000048,"11/10/2015","felis.adipiscing@elementumpurus.com",28690,17,124
10000048,"11/8/2015","quis.massa@nec.net",71064,20,309
10000048,"9/9/2015","vitae@Crasvulputatevelit.com",98243,30,271
10000048,"10/6/2016","viverra.Maecenas@lorem.org",99058,60,48
10000049,"7/7/2015","amet.orci@enimcommodo.com",5670,65,227
10000049,"9/15/2016","eu@leoinlobortis.com",25855,60,79
10000049,"9/23/2016","luctus.aliquet@seddictum.com",43552,65,169
10000049,"10/3/2015","luctus.felis@Donec.com",43612,60,130
10000049,"4/21/2015","nascetur.ridiculus@ataugue.net",52183,30,271
10000049,"11/15/2016","neque@velturpisAliquam.com",55449,20,122
10000049,"1/8/2016","turpis.vitae.purus@fringillaornareplacerat.net",89574,20,128
10000050,"6/28/2016","eget.laoreet@tellusimperdiet.net",19156,60,258
10000050,"4/8/2016","hendrerit.consectetuer@Morbisitamet.com",31731,20,232
10000050,"12/6/2016","lacus.Mauris.non@Morbi.org",37547,50,104
10000050,"4/19/2016","tincidunt.vehicula.risus@mattisInteger.com",87613,50,80
10000050,"10/13/2015","ullamcorper.Duis@ettristique.com",89862,30,139
10000050,"10/28/2016","ut.nisi.a@rutrummagnaCras.com",92877,60,240
10000050,"8/31/2016","vitae.purus@Donec.com",97763,60,71
10000051,"9/10/2016","augue.id.ante@arcuNunc.com",8731,20,155
10000051,"8/30/2015","dictum@gravidamolestiearcu.edu",14882,17,25
10000051,"10/21/2016","euismod.est.arcu@Utsemper.com",26269,20,209
10000051,"6/18/2015","facilisis.Suspendisse.commodo@euneque.net",26969,40,57
10000051,"2/3/2016","Fusce@mattis.com",30491,30,117
