refNo,collectDate,subjEmail,cenTract,ageRange,score
10000025,6/11/2015,ut.odio.vel@natoquepenatibuset.edu,93046,65,1307
10000026,1/18/2017,arcu@sodalesat.edu,07267,40,206
10000026,11/3/2015,augue@egetvolutpatornare.edu,08945,30,223
10000026,5/27/2016,erat@interdum.edu,23505,40,425
10000026,4/30/2016,Nunc.mauris.sapien@utpellentesqueeget.edu,61022,65,169
10000026,9/27/2016,quis@duiCras.com,71282,40,358
10000026,1/23/2015,tellus.sem@ornare.edu,84710,50,1349
10000026,5/21/2015,vulputate@consectetueradipiscingelit.org,99985,20,702
10000027,1/21/2016,dis.parturient.montes@Proinvel.net,15171,30,1021
10000027,1/21/2016,facilisis@senectusetnetus.org,27357,30,158
10000027,2/27/2015,Integer.mollis.Integer@sollicitudin.com,34691,40,651
10000027,10/8/2015,massa.Suspendisse@orci.net,46380,20,1147
10000027,8/5/2015,morbi.tristique@ligulaNullamfeugiat.org,51014,17,732
10000027,4/10/2015,orci@mauris.org,63642,65,567
10000027,2/12/2016,risus.Donec@elit.com,72625,30,848
10000028,11/20/2015,a.purus.Duis@odiovelest.com,02281,50,383
10000028,4/21/2016,at.augue@arcu.com,07739,65,125
10000028,9/13/2015,dolor@Uttinciduntvehicula.edu,15820,17,400
10000028,8/19/2015,ligula.Aenean@Fuscedolor.net,40638,60,512
10000028,9/5/2015,metus@nibhenim.com,48416,17,586
10000028,8/22/2015,ornare.In.faucibus@Namnulla.com,64144,20,652
10000028,9/29/2015,turpis.Nulla.aliquet@congue.net,89397,50,483
10000029,4/26/2015,at.velit@lectuspedeet.net,08095,30,383
10000029,11/8/2016,egestas.Duis.ac@atpede.com,18310,40,98
10000029,9/18/2015,in.tempus.eu@eros.com,33630,20,1398
10000029,9/1/2015,lectus.rutrum.urna@libero.org,39690,50,1351
10000029,1/9/2017,magna@ascelerisque.com,44957,50,848
10000029,3/12/2016,risus.quis@elit.com,72758,50,388
10000029,9/11/2015,sagittis.lobortis.mauris@consectetuercursuset.net,73282,65,652
10000030,12/11/2015,a.odio.semper@aliquet.org,02236,50,157
10000030,12/3/2016,eu.ligula@convallis.edu,25191,40,577
10000030,6/11/2016,magna.et.ipsum@elit.org,44308,65,268
10000030,3/25/2016,nec.cursus.a@congueaaliquet.com,52982,17,879
10000030,6/4/2016,quam.quis@Fusce.com,70726,65,941
10000030,7/13/2015,tellus.eu@euismodenimEtiam.com,83987,65,884
10000030,7/16/2016,tristique.ac.eleifend@magnaCrasconvallis.edu,88397,65,1302
10000031,9/9/2016,eget.ipsum@Duissitamet.com,19065,17,1031
10000031,12/3/2016,Fusce.aliquet@quistristiqueac.net,29755,20,949
10000031,10/1/2016,Mauris@leo.edu,47477,40,1272
10000031,1/1/2016,sagittis.Duis@rutrumFuscedolor.edu,73137,40,749
10000031,6/13/2015,sodales.nisi.magna@nonleoVivamus.com,82084,17,1353
10000031,9/30/2016,tincidunt.congue@lobortisaugue.com,86706,65,839
10000031,8/31/2015,vulputate.dui.nec@dapibusgravidaAliquam.com,99533,60,706
10000032,8/10/2016,ac.risus.Morbi@bibendumfermentum.com,03054,50,205
10000032,12/2/2016,ac.turpis@Fuscefermentumfermentum.org,03287,30,212
10000032,10/29/2016,dapibus@ametornarelectus.com,13580,60,1122
10000032,10/13/2015,eu.lacus.Quisque@nisl.com,25134,65,651
10000032,3/2/2015,metus@sodales.org,48454,60,442
10000032,6/6/2015,mollis.lectus@Aenean.com,49803,30,1017
10000032,5/1/2015,tellus@nequeIn.com,85434,50,643
10000033,7/3/2016,enim@sodales.org,23170,20,879
10000033,7/15/2016,In.nec@fermentumarcu.com,33472,40,176
10000033,5/20/2015,pede@sit.com,65355,17,1292
10000033,3/17/2016,Phasellus.elit.pede@euismodacfermentum.net,66939,17,949
10000033,9/17/2015,Proin.ultrices.Duis@pede.org,68852,60,453
10000033,5/23/2016,Quisque@fermentum.edu,72110,20,81
10000033,5/29/2015,tincidunt@idmollis.edu,87683,60,1113
10000034,5/13/2015,dolor.Quisque@vulputatemauris.com,15361,50,770
10000034,11/4/2015,elit.dictum@eteuismod.edu,20404,60,917
10000034,6/20/2016,est@egetvolutpatornare.com,24382,20,897
10000034,10/26/2016,lacus.Cras.interdum@magnisdisparturient.com,37243,20,1322
10000034,2/28/2016,luctus@ipsumdolor.net,43934,40,562
10000034,11/13/2016,massa.rutrum@aliquam.edu,46098,60,92
10000034,9/23/2016,pretium.aliquet@placerat.com,68479,60,889
10000035,1/20/2017,commodo.auctor@Ut.edu,09294,17,96
10000035,10/6/2016,dis@Utnec.org,15279,20,954
10000035,6/3/2016,dolor.tempus.non@lacusAliquamrutrum.edu,15661,60,182
10000035,4/5/2016,Duis.ac.arcu@miDuisrisus.com,17461,40,1382
10000035,12/15/2016,Fusce@egestasSed.net,30358,40,1342
10000035,2/8/2015,nec.leo.Morbi@egetvolutpatornare.edu,53065,50,746
10000035,9/23/2015,tempus@Nam.com,86344,20,246
10000036,1/17/2017,dignissim.tempor@interdumligulaeu.com,15044,17,1313
10000036,6/12/2016,eu.lacus.Quisque@Vivamuseuismod.org,25179,60,339
10000036,5/17/2016,inceptos.hymenaeos@Quisquetincidunt.edu,34484,20,41
10000036,7/15/2016,lacus@diam.com,37982,40,1135
10000036,5/7/2015,parturient@egetnisidictum.com,64843,17,789
10000036,4/23/2015,vel@posuere.edu,95630,65,119
10000036,1/12/2016,vitae@Aeneanegestashendrerit.org,98094,40,206
10000037,1/4/2016,consectetuer@sociis.com,09855,60,150
10000037,8/28/2015,Cras.interdum@eratVivamusnisi.com,10595,65,1340
10000037,6/3/2015,enim@ipsumprimisin.net,23167,40,931
10000037,9/13/2016,ligula@egestaslacinia.com,40949,17,332
10000037,12/5/2016,Nulla.tincidunt@ipsumdolorsit.edu,59363,20,455
10000037,2/17/2016,sed.pede.Cum@indolor.com,76289,65,1123
10000037,12/22/2015,vehicula@nec.org,94820,65,935
10000038,5/13/2015,ante@Donec.com,05904,20,133
10000038,11/7/2016,Duis.gravida.Praesent@massa.net,17925,65,893
10000038,8/10/2015,eleifend@rutrumjustoPraesent.com,20281,60,1138
10000038,9/11/2015,eu.tellus@dolorDonecfringilla.net,25446,60,632
10000038,2/23/2016,in@vitaealiquet.org,34463,50,871
10000038,3/3/2016,nec.mauris.blandit@amalesuadaid.com,53507,30,768
10000038,6/24/2015,risus.quis@tempusmauriserat.com,72775,50,1334
10000039,2/21/2016,cursus.et.eros@a.org,12471,50,1192
10000039,7/26/2015,libero@semvitae.com,40429,20,1229
10000039,11/27/2015,mi.ac@arcuVestibulumante.org,48843,40,697
10000039,5/11/2015,pellentesque.Sed@a.com,65713,60,747
10000039,7/12/2016,sed.dolor.Fusce@ligulaconsectetuer.net,75176,30,325
10000039,5/15/2016,vitae.nibh.Donec@egestaslaciniaSed.net,97383,30,245
10000039,12/15/2016,viverra.Donec.tempus@Ut.com,98981,20,675
10000040,8/10/2015,arcu.Sed@eleifendnon.com,06764,40,270
10000040,11/21/2015,congue@augueut.org,09396,40,311
10000040,9/6/2016,dolor.elit.pellentesque@maurisIntegersem.com,15287,60,1035
10000040,4/16/2015,fames.ac@fringillaornare.com,27435,65,1122
10000040,3/30/2016,mi.enim@nonleoVivamus.edu,48864,30,355
10000040,7/4/2016,Proin.velit@tempuseuligula.com,68884,17,1156
10000040,8/10/2015,vitae.nibh.Donec@Morbi.com,97467,40,1158
10000041,3/24/2015,dolor.elit@dictumeu.com,15309,65,1228
10000041,12/31/2016,feugiat.metus@molestieorcitincidunt.com,29194,60,956
10000041,12/15/2016,id@molestietellusAenean.com,32254,17,491
10000041,8/16/2015,lectus.pede.ultrices@urnanecluctus.net,39448,20,1263
10000041,7/4/2015,luctus.ipsum@ac.com,43700,65,671
10000041,9/30/2015,nisi@iaculis.com,56381,20,1280
10000041,5/30/2016,vitae.sodales@Praesent.net,97965,65,1167
10000042,7/23/2015,a@estacfacilisis.com,02747,40,166
10000042,7/28/2015,adipiscing.Mauris.molestie@eget.edu,04148,30,186
10000042,9/9/2016,elit.sed.consequat@IncondimentumDonec.com,20998,40,259
10000042,2/21/2015,id@acturpis.edu,32138,20,797
10000042,12/26/2015,nascetur.ridiculus.mus@sedfacilisis.net,52124,20,3
10000042,5/29/2015,non.enim@Maecenasmi.net,57146,40,1384
10000042,12/5/2016,nunc.ullamcorper@sem.com,61648,65,304
10000043,7/13/2015,Donec@ipsumac.com,17104,17,663
10000043,4/29/2016,eget@sitamet.org,19853,40,727
10000043,1/15/2017,id.ante.dictum@nibhsit.net,32013,17,638
10000043,8/19/2015,lacus.Nulla@eliterat.edu,37759,40,988
10000043,5/15/2015,lorem@conubia.edu,42575,20,174
10000043,1/24/2016,non@ut.edu,58172,40,249
10000043,1/2/2016,sagittis.semper.Nam@consequatdolorvitae.edu,73480,40,227
10000044,8/11/2016,accumsan.neque@lectussitamet.net,03801,30,238
10000044,2/1/2015,Nam.consequat.dolor@posuere.com,51461,50,464
10000044,10/30/2016,neque.sed@risus.net,54927,20,669
10000044,8/13/2016,non.sollicitudin@ipsumSuspendissesagittis.edu,57384,30,730
10000044,7/20/2016,nulla.Cras.eu@tempor.org,58435,30,29
10000044,7/18/2015,Proin.vel@mollisvitaeposuere.net,68884,40,929
10000044,2/21/2016,rhoncus.Nullam@pharetra.org,72352,60,1360
10000045,10/27/2016,at@Vivamusnibh.net,08519,65,329
10000045,3/21/2016,diam.vel@volutpatNulla.com,14401,50,279
10000045,11/16/2016,eleifend.Cras@eu.com,20051,60,1159
10000045,3/12/2015,feugiat.Sed.nec@In.org,29332,30,608
10000045,6/11/2016,sociis.natoque.penatibus@MaurismagnaDuis.org,81541,20,1158
10000045,5/20/2015,vehicula@turpis.edu,94825,60,1302
10000045,3/26/2016,vitae@elitsed.com,98400,40,942
10000046,1/2/2016,Etiam.imperdiet.dictum@Sed.edu,24883,65,478
10000046,11/18/2016,faucibus.orci.luctus@dui.com,28332,65,292
10000046,1/10/2017,feugiat.metus@tellusAenean.com,29325,40,823
10000046,7/31/2016,lobortis.augue@metusVivamuseuismod.net,41055,65,1364
10000046,5/27/2015,nec@neque.org,53877,17,377
10000046,7/25/2015,Suspendisse.non.leo@perconubianostra.org,83466,50,820
10000046,10/9/2016,vitae.mauris.sit@non.com,97187,65,99
10000047,11/13/2015,Cras.eget.nisi@luctuset.com,10005,60,929
10000047,2/11/2015,Donec.tincidunt@ipsum.net,16505,17,749
10000047,10/17/2016,massa.rutrum@elitEtiam.edu,46183,60,845
10000047,7/11/2015,quam.Pellentesque.habitant@Nuncpulvinar.com,70682,17,585
10000047,8/20/2015,sem.magna@famesacturpis.com,77374,65,1200
10000047,3/16/2016,tincidunt.nibh@euenim.com,87528,17,839
10000047,7/24/2016,ultrices@venenatis.net,91444,30,1016
10000048,9/2/2015,cursus.purus.Nullam@Integereu.com,13146,30,617
10000048,3/6/2015,dictum@adipiscingenim.com,14827,40,926
10000048,7/29/2015,est.Mauris.eu@ut.com,24214,20,881
10000048,11/10/2015,felis.adipiscing@elementumpurus.com,28690,17,95
10000048,11/8/2015,quis.massa@nec.net,71064,20,1237
10000048,9/9/2015,vitae@Crasvulputatevelit.com,98243,30,1378
10000048,10/6/2016,viverra.Maecenas@lorem.org,99058,60,1205
10000049,7/7/2015,amet.orci@enimcommodo.com,05670,65,142
10000049,9/15/2016,eu@leoinlobortis.com,25855,60,890
10000049,9/23/2016,luctus.aliquet@seddictum.com,43552,65,28
10000049,10/3/2015,luctus.felis@Donec.com,43612,60,1208
10000049,4/21/2015,nascetur.ridiculus@ataugue.net,52183,30,438
10000049,11/15/2016,neque@velturpisAliquam.com,55449,20,656
10000049,1/8/2016,turpis.vitae.purus@fringillaornareplacerat.net,89574,20,360
10000050,6/28/2016,eget.laoreet@tellusimperdiet.net,19156,60,314
10000050,4/8/2016,hendrerit.consectetuer@Morbisitamet.com,31731,20,873
10000050,12/6/2016,lacus.Mauris.non@Morbi.org,37547,50,1266
10000050,4/19/2016,tincidunt.vehicula.risus@mattisInteger.com,87613,50,120
10000050,10/13/2015,ullamcorper.Duis@ettristique.com,89862,30,1124
10000050,10/28/2016,ut.nisi.a@rutrummagnaCras.com,92877,60,48
10000050,8/31/2016,vitae.purus@Donec.com,97763,60,1020
10000051,9/10/2016,augue.id.ante@arcuNunc.com,08731,20,319
10000051,8/30/2015,dictum@gravidamolestiearcu.edu,14882,17,209
10000051,10/21/2016,euismod.est.arcu@Utsemper.com,26269,20,1127
10000051,6/18/2015,facilisis.Suspendisse.commodo@euneque.net,26969,40,223
10000051,2/3/2016,Fusce@mattis.com,30491,30,1362
10000051,7/16/2015,justo.faucibus@molestie.edu,36752,17,422
10000051,4/3/2016,nascetur.ridiculus@magnaPraesentinterdum.org,52289,20,952
10000052,2/13/2015,egestas@lobortis.com,18580,20,1229
10000052,3/5/2015,fermentum.convallis@ut.com,28966,60,772
10000052,8/27/2016,in@interdum.edu,33930,65,1031
10000052,5/19/2016,lacus.Nulla.tincidunt@Nullainterdum.edu,37588,40,182
10000052,1/15/2017,lectus.Cum.sociis@Nuncsed.com,38808,30,458
10000052,10/22/2016,massa.Suspendisse.eleifend@bibendum.edu,46286,50,653
